Product_Name,Pricing,Ratings,Features
Apple iPhone 6s (Rose Gold| 32 GB),Rs.29799,4.515,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone XR (Black| 128 GB),Rs.64900,4.61,128 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.34900,4.54,32 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone XR (Black| 64 GB),Rs.59900,4.61,64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.59900,4.61,64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone 6s (Gold| 32 GB),Rs.29590,4.514,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone 6s (Space Grey| 32 GB),Rs.29590,4.525,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone X (Silver| 64 GB),Rs.69999,4.65,64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year
Apple iPhone 6s (Silver| 32 GB),Rs.29799,4.55,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone XR (Blue| 64 GB),Rs.59900,4.61,64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone X (Space Gray| 64 GB),Rs.69999,4.65,64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year
Apple iPhone XR (Coral| 128 GB),Rs.64900,4.61,128 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone XR (White| 64 GB),Rs.59900,4.61,64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone 7 (Rose Gold| 128 GB),Rs.48999,4.5872 Ratings & 131 Reviews,128 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone 7 (Silver| 128 GB),Rs.48999,4.6472 Ratings & 72 Reviews,128 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone XR (Blue| 128 GB),Rs.64900,4.61,128 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year
Apple iPhone XS (Space Grey| 512 GB),Rs.134900Up to ,4.7696 Ratings & 94 Reviews,512 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories
